"Sample","AUC","Doubling_Time"
"15",18.6303385749169,0.606486479279082
"744",18.5129416444703,0.51272947623769
"38",16.9829449195117,0.582513524093592
"BG2",19.8875142591346,0.514748240817366
"Large",18.6608630419532,0.544084194997824
"Small",16.8712905788375,0.580758021898362
